R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
── 设定点 600 °C　夹头 450 °C　片 1「HC1|HC2」　T管根 663.3031 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	466.114531
5	-96.165678	-85.165678	660	523.18589
6	-85.165678	-75.51206	579.21708	583.175757
7	-75.51206	-68.0862	445.5516	620.198711
8	-68.0862	-62.374	342.732	641.983314
9	-62.374	-57.98	263.64	655.076109
10	-57.98	-54.6	202.8	663.091037
11	-54.6	-52	156	668.081129
12	-52	-50	120	671.23954
13	-50	-48	120	673.537272
14	-48	-46	120	675.390585
15	-46	-44	120	676.802356
16	-44	-42	120	677.7739
17	-42	-40	120	678.304648
18	-40	-38	120	678.391667
19	-38	-36	120	678.028917
20	-36	-34	120	677.206139
21	-34	-32	120	675.907123
22	-32	-30	120	674.106992
23	-30	-28	120	671.767031
24	-28	-26	120	668.795994
25	-26	-24	94.875	666.633724
26	-24	-22	73.125	665.051557
27	-22	-20	60.125	663.756138
28	-20	-18	51	662.823454
29	-18	-16	43	662.204298
30	-16	-14	36.25	661.878529
31	-14	-12	30.625	661.802201
32	-12	-10	26.5	661.918232
33	-10	-8	23.125	662.167727
34	-8	-6	20.75	662.434661
35	-6	-4	19	662.683586
36	-4	-2	16	662.85655
37	-2	0	16	662.984136
38	0	2	15.125	663.062324
39	2	4	15	663.076814
40	4	6	17.25	663.081517
41	6	8	17.5	663.076571
42	8	10	17.375	663.080691
43	10	12	17.625	663.076398
44	12	14	18.875	663.076903
45	14	16	19.375	663.085357
46	16	18	22	663.07368
47	18	20	23.875	663.071398
48	20	22	25	663.076801
49	22	24	30	663.082259
50	24	26	41	663.098584
51	26	28	51.375	663.080235
52	28	30	27.375	663.019041
