F4 门(b) 圆盘区体积　W08／W06 × R48NMeshGateTests 门 a 快门的几何（盘径 28／29／30／30.25／30.75／31／31.01／32／34 × 舌半宽 30／28 × 片 0／1 × 导航／判决）
开跑 2026-09-23 20:27:07　工作树 /tmp/claude-0/-home-user-Pt-Optimize/edf845d6-9a14-5b5e-9737-df190eaf0db5/scratchpad/wtMRG　写码 2026-09-23，F4（C3）
门槛（跑前写死）：圆盘区体积 Σ 份额·面积·厚度（份额 = ShellThermal.DiscZoneShare，Solve 的分区账用的同一个函数）对参考积分 VolInDisc ≤ 0.1 %（= §0.-15N 门 a 的 VolTolPct）；逐格面积／体积和账 ≤ 4u；改回按格心的圆盘区体积至少一张网格超 0.1 %（否则本门空守，判红）。
舌半宽 > 盘半径的几何不进门（与门 a 同一规矩）。
★ 审查后（F4-M1）：每个 0 < 份额 < 1 的格独立判料（R48NMeshGateTests.CellVolExact）圆内、圆外各 > 1e-9 × 格有料体积；不收整的 DiscZoneShareRaw 在这一扫描上至少一格是舍入产物（否则空守，判红）。逐格和账 4u 是算术自检，按构造不会红，不算牙。
设计	R	w	片	档	单元	切开格	参考 VolInDisc	份额账	Δ%	格心账	Δ格心%	逐格最大误差(u，自检)	不收整切开格	其中舍入产物	独立判料最小一侧份额	判读
W08	31.00	28.00	1	导航	1074	46	2043.251	2043.733	+0.0236	2078.550	+1.728	1.06	56	10	5.200e-4	过
W08	31.00	28.00	1	判决	3922	94	2043.251	2043.734	+0.0236	2055.990	+0.623	1.06	110	16	2.608e-4	过
W08	31.01	30.00	0	导航	1124	54	1202.031	1202.242	+0.0175	1208.514	+0.539	2.00	70	16	1.209e-5	过
W08	31.01	30.00	0	判决	4094	108	1202.031	1202.242	+0.0175	1192.274	-0.812	1.97	132	24	2.418e-5	过
W08	31.01	30.00	1	导航	1124	54	2097.512	2097.899	+0.0185	2108.743	+0.535	2.00	72	18	1.209e-5	过
W08	31.01	30.00	1	判决	4094	108	2097.512	2097.899	+0.0185	2080.663	-0.803	1.14	132	24	2.418e-5	过
W08	31.01	28.00	0	导航	1074	46	1169.897	1170.145	+0.0213	1191.552	+1.851	1.84	64	18	1.975e-4	过
W08	31.01	28.00	0	判决	3924	94	1169.897	1170.145	+0.0213	1174.192	+0.367	2.00	124	30	1.393e-4	过
W08	31.01	28.00	1	导航	1074	46	2046.828	2047.285	+0.0223	2084.377	+1.834	1.06	66	20	1.975e-4	过
W08	31.01	28.00	1	判决	3924	94	2046.828	2047.285	+0.0223	2054.297	+0.365	2.00	124	30	1.393e-4	过
W08	32.00	30.00	0	导航	1168	52	1492.895	1493.152	+0.0172	1480.014	-0.863	2.00	64	12	6.992e-5	过
W08	32.00	30.00	0	判决	4288	102	1492.895	1493.152	+0.0172	1492.194	-0.047	2.00	128	26	5.904e-5	过
